"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Czech Republic (CZ)","09.01.2015 13:00 - 09.01.2015 14:00 (CET/CEST)","N/A","N/A"
"Czech Republic (CZ)","09.01.2015 14:00 - 09.01.2015 15:00 (CET/CEST)","N/A","N/A"
"Czech Republic (CZ)","09.01.2015 15:00 - 09.01.2015 16:00 (CET/CEST)","N/A","N/A"
"Czech Republic (CZ)","09.01.2015 16:00 - 09.01.2015 17:00 (CET/CEST)","N/A","N/A"
"Czech Republic (CZ)","09.01.2015 17:00 - 09.01.2015 18:00 (CET/CEST)","N/A","N/A"
"Czech Republic (CZ)","09.01.2015 18:00 - 09.01.2015 19:00 (CET/CEST)","N/A","N/A"
"Czech Republic (CZ)","09.01.2015 19:00 - 09.01.2015 20:00 (CET/CEST)","N/A","N/A"
"Czech Republic (CZ)","09.01.2015 20:00 - 09.01.2015 21:00 (CET/CEST)","N/A","N/A"
"Czech Republic (CZ)","09.01.2015 21:00 - 09.01.2015 22:00 (CET/CEST)","N/A","N/A"
"Czech Republic (CZ)","09.01.2015 22:00 - 09.01.2015 23:00 (CET/CEST)","N/A","N/A"
"Czech Republic (CZ)","09.01.2015 23:00 - 10.01.2015 00:00 (CET/CEST)","81","135"
"Czech Republic (CZ)","10.01.2015 00:00 - 10.01.2015 01:00 (CET/CEST)","36","130"
"Czech Republic (CZ)","10.01.2015 01:00 - 10.01.2015 02:00 (CET/CEST)","36","131"
"Czech Republic (CZ)","10.01.2015 02:00 - 10.01.2015 03:00 (CET/CEST)","36","131"
"Czech Republic (CZ)","10.01.2015 03:00 - 10.01.2015 04:00 (CET/CEST)","36","131"
"Czech Republic (CZ)","10.01.2015 04:00 - 10.01.2015 05:00 (CET/CEST)","36","131"
"Czech Republic (CZ)","10.01.2015 05:00 - 10.01.2015 06:00 (CET/CEST)","36","131"
"Czech Republic (CZ)","10.01.2015 06:00 - 10.01.2015 07:00 (CET/CEST)","43","135"
"Czech Republic (CZ)","10.01.2015 07:00 - 10.01.2015 08:00 (CET/CEST)","50","157"
